customer_id,recency_days,frequency,monetary
12980,157,21,16245.78
17107,33,10,16052.72
17716,22,24,15956.97
13199,3,66,15949.21
13564,354,36,15880.22
15044,19,32,15769.01
12971,3,116,15704.6
16191,2,24,15677.82
12949,30,22,15526.7
14769,2,17,15512.46
14849,21,43,15407.61
15768,115,34,15308.89
12472,32,19,14971.29
18092,2,18,14693.72
16126,29,15,14644.6
17133,15,12,14622.33
16873,4,12,14617.39
14543,28,39,14548.22
17448,529,41,14448.67
15482,15,18,14377.36
14733,16,15,14335.15
13488,17,23,14205.96
15601,11,30,14191.74
16713,18,32,14115.56
12647,22,35,14109.55
14299,8,27,14070.25
13178,26,21,14059.19
18223,4,26,14000.85
12435,79,6,13925.93
18087,290,16,13908.72
17589,60,18,13806.27
15005,15,56,13752.58
15382,14,12,13733.55
15093,18,23,13702.38
12989,3,33,13551.75
15291,25,39,13472.76
13629,23,19,13370.86
16558,0,38,13304.11
12744,56,8,13158.16
16923,12,32,13157.13
13090,8,23,13076.74
15738,18,41,13043.32
14049,16,13,13023.4
13097,32,27,13015.36
18225,3,26,13014.8
14110,3,33,12987.95
13969,7,35,12973.46
13668,2,35,12948.48
13316,37,10,12940.82
13952,217,14,12823.52
12714,9,12,12815.71
13468,1,72,12793.28
16549,10,34,12781.8
12451,10,8,12629.88
16161,1,43,12580.06
17017,2,29,12576.99
14040,40,35,12523.81
17858,5,30,12518.65
12583,2,27,12493.58
14936,33,12,12410.81
16000,2,3,12393.7
12476,15,18,12319.91
14735,3,55,12225.16
15144,8,29,12160.31
15465,19,32,12100.4
15194,3,28,12021.53
14415,1,23,11980.09
17364,0,28,11972.92
17044,25,12,11962.3
13458,7,16,11959.27
13854,8,39,11944.56
16258,45,15,11942.52
16523,1,28,11916.33
16814,14,36,11914.95
13687,438,1,11880.84
17338,17,17,11880.54
18226,44,26,11878.88
13050,14,34,11877.29
14505,17,19,11873.08
14426,23,17,11727.94
13004,11,36,11650.85
14739,4,25,11573.62
13418,11,31,11559.66
15023,3,20,11555.5
15218,10,22,11453.83
13680,1,12,11419.67
13102,1,37,11380.1
12474,17,29,11310.75
14016,161,11,11303.41
15874,63,21,11284.76
12437,1,38,11282.4
15555,12,36,11233.78
13576,10,28,11202.59
12539,22,7,11186.75
14134,382,15,11123.35
12705,15,13,11114.1
13013,1,29,11097.43
12481,22,14,11033.51
15032,256,8,11010.05
14045,109,16,10986.63
16985,17,23,10923.16
18052,564,1,10877.18
12567,22,15,10741.48
16033,5,27,10608.81
13324,36,18,10513.47
15290,4,26,10496.28
12683,4,20,10445.7
14028,550,3,10396.5
16168,10,66,10360.67
16984,88,9,10350.53
15296,50,12,10323.03
14422,0,19,10271.52
17160,31,17,10209.16
15719,32,31,10194.32
14796,1,27,10167.77
18229,11,28,10150.51
15805,23,30,10148.93
18055,7,14,10142.64
16327,14,16,10129.04
12431,35,25,10102.22
17809,16,20,10085.89
13941,21,15,10027.18
13985,4,22,10020.86
15547,7,26,10002.65
14755,9,25,9972.55
16182,72,9,9971.65
15694,0,23,9963.48
14101,73,13,9961.93
16131,51,12,9957.42
18260,172,23,9947.26
17049,2,19,9942.53
16701,8,26,9916.73
12668,11,9,9906.03
12758,116,7,9903.24
14329,17,15,9887.62
14828,196,13,9839.46
13599,1,33,9811.04
16353,3,38,9795.46
12524,9,17,9794.11
17306,10,21,9782.35
13018,16,35,9763.16
13735,24,13,9762.77
14085,2,32,9705.67
14944,29,19,9684.67
12839,2,26,9669.12
16782,10,38,9636.12
17315,1,41,9559.5
18109,1,38,9555.71
15502,15,12,9542.92
14091,654,2,9530.08
17811,4,47,9513.1
13999,10,29,9502.26
17504,206,18,9490.17
14063,686,7,9471.5
14146,8,12,9450.3
14439,319,5,9443.04
13267,2,36,9429.81
17230,264,18,9388.49
15727,16,15,9371.71
15981,24,21,9362.77
12590,211,1,9341.26
13069,0,38,9284.45
13162,122,16,9275.49
15249,31,18,9266.0
14367,8,16,9227.82
14292,7,16,9226.25
13327,38,20,9134.48
17757,1,56,9070.1
15298,2,23,9061.77
16709,84,14,9056.01
15939,89,15,9004.84
17068,12,47,8980.18
15150,17,13,8977.94
15903,9,12,8939.84
12747,2,26,8898.48
14060,4,30,8898.24
13555,73,13,8891.84
14709,15,25,8886.33
12359,57,10,8873.39
15867,5,31,8869.87
14135,1,24,8839.67
16700,8,25,8830.77
16550,108,18,8807.68
15260,100,25,8767.73
12490,5,20,8764.64
16532,17,5,8756.64
15570,7,25,8736.49
16186,22,26,8718.43
12957,9,13,8706.97
17576,8,41,8705.6
15497,17,9,8657.39
13756,2,23,8655.95
13263,1,38,8650.98
13758,11,14,8595.29
16945,21,33,8548.16
15281,58,16,8543.57
13269,1,28,8537.32
15270,15,21,8524.86
12798,10,4,8510.93
13209,30,13,8509.51
15786,46,5,8501.62
13148,29,26,8488.32
14286,23,7,8479.76
18139,17,6,8438.34
13047,56,23,8423.58
14160,610,7,8421.47
15984,2,30,8393.02
17396,39,13,8391.6
13448,16,12,8386.22
14676,31,12,8356.79
14057,23,22,8346.66
13206,400,13,8308.19
17686,7,9,8296.81
17611,7,28,8287.53
15998,36,16,8274.14
15034,15,14,8231.2
13381,31,12,8224.37
13139,16,8,8202.98
16722,17,22,8189.56
17365,12,15,8179.45
13426,0,22,8167.38
13715,281,17,8153.04
14056,1,23,8152.71
12766,3,9,8134.99
16672,2,20,8134.94
17593,3,11,8092.32
15955,24,22,8085.98
12637,67,12,8085.81
17426,8,13,8077.77
16767,30,15,8052.41
16670,16,20,8030.15
18041,11,38,8018.77
14525,19,17,8018.59
16556,66,17,8012.58
13869,123,10,7996.87
13174,16,11,7972.46
16303,25,7,7928.27
14291,1,23,7904.1
13871,22,17,7885.85
15622,43,17,7852.61
14159,19,20,7849.58
17085,123,28,7839.27
12867,26,13,7829.26
16592,4,28,7807.91
15544,9,20,7807.89
12643,128,11,7803.82
14395,2,20,7801.93
17409,184,10,7793.51
17730,3,20,7773.8
17739,11,18,7730.59
13534,2,35,7720.9
17696,38,27,7679.59
14175,59,8,7678.88
13141,84,17,7656.08
15046,9,25,7604.84
14145,46,7,7600.05
13373,60,6,7587.19
13137,10,16,7586.94
13709,3,18,7571.35
14030,18,20,7521.8
17091,2,19,7495.75
15179,18,13,7491.92
16570,15,20,7434.31
16242,8,14,7404.65
17602,2,14,7354.43
13082,126,21,7335.75
17238,2,32,7331.17
14282,3,25,7250.76
14092,7,24,7229.45
16253,66,7,7222.2
14243,8,17,7217.75
12380,21,8,7210.65
16729,38,21,7202.01
14688,7,28,7190.42
16745,86,17,7180.7
14800,47,17,7180.08
14841,53,14,7163.0
15950,31,10,7120.91
14113,3,16,7092.61
13451,26,11,7088.92
15521,40,16,7087.64
17231,12,25,7064.8
17769,12,17,7053.38
13183,7,15,7036.18
17965,37,29,7002.9
16938,8,9,6995.36
17690,30,20,6963.8
12841,4,40,6958.2
13552,66,22,6948.92
16187,31,15,6911.44
15301,50,17,6909.67
12720,2,29,6905.28
16170,50,20,6869.0
15129,50,23,6860.18
18231,192,28,6848.27
16401,1,23,6847.45
12749,3,9,6847.36
12830,37,6,6814.64
16145,8,19,6805.44
15413,691,5,6798.72
14401,4,22,6795.9
13993,42,19,6775.71
13983,29,21,6753.89
13815,22,8,6737.74
15321,70,12,6709.73
14844,63,10,6702.43
13734,508,4,6695.69
16497,49,23,6695.28
17975,15,24,6693.03
16265,9,12,6685.17
13384,30,11,6680.83
17700,16,14,6679.97
14461,148,13,6676.52
16717,23,14,6663.68
17001,0,19,6640.8
13953,7,12,6640.68
14562,3,26,6638.15
13394,1,19,6621.7
15674,73,12,6613.52
13831,16,18,6585.54
13015,53,11,6579.78
12836,59,15,6559.73
15980,88,7,6543.68
13883,10,14,6535.37
14855,119,7,6520.3
14221,42,17,6517.49
12823,74,18,6501.5
13317,66,19,6486.09
12779,37,14,6474.11
12843,65,28,6461.87
14154,239,8,6460.7
15750,2,18,6452.99
16940,52,8,6427.66
16655,17,13,6423.26
12428,25,8,6405.26
18094,81,13,6391.52
12406,22,5,6390.36
15514,12,18,6388.28
14388,10,16,6388.2
14766,8,11,6375.73
14227,26,15,6366.16
14702,1,29,6356.98
13590,11,18,6336.04
18245,7,20,6324.98
13654,43,11,6308.0
12913,4,13,6283.24
12613,57,9,6277.37
13136,56,13,6274.56
13615,318,8,6272.53
14004,43,11,6258.45
15369,492,11,6251.26
17799,22,20,6246.93
18118,10,29,6218.62
16735,78,14,6217.41
15673,88,9,6204.32
13334,82,5,6201.8
16103,7,22,6191.71
16156,8,20,6188.18
14534,2,26,6183.06
14390,10,13,6150.03
17669,42,10,6142.35
17873,80,18,6135.95
13266,11,19,6135.04
14852,58,18,6132.43
12662,0,20,6130.54
17419,11,18,6126.25
14180,10,33,6117.5
13935,596,3,6116.92
14560,7,44,6114.03
13230,4,30,6109.51
18178,128,11,6103.74
14530,25,16,6088.87
18061,21,28,6083.81
17509,57,8,6083.64
16954,0,20,6081.88
17644,1,20,6028.6
13658,9,9,6025.5
17819,71,12,6021.05
15372,137,8,6017.06
16456,99,13,6000.94
12417,3,20,5998.41
12835,427,41,5996.83
12497,81,3,5996.5
15755,10,17,5993.12
14105,239,5,5988.83
12712,28,21,5985.03
17457,126,14,5984.81
14440,8,13,5982.03
17625,18,8,5978.9
15785,32,16,5969.93
14535,60,9,5961.89
14918,115,9,5955.81
12626,23,9,5954.48
14257,64,9,5954.45
16710,19,22,5921.35
15971,17,18,5897.88
17146,105,13,5852.64
18065,5,28,5846.63
12429,9,8,5842.41
14112,22,13,5834.59
12910,23,13,5796.52
18075,23,20,5783.29
17672,50,7,5778.63
14099,16,20,5750.91
16316,64,13,5744.91
13771,64,9,5728.82
12656,17,8,5723.83
12455,73,9,5722.95
13870,2,15,5712.08
16607,17,25,5706.87
17651,11,16,5703.52
16279,21,9,5698.28
16458,2,30,5690.89
13157,49,9,5687.36
13901,72,15,5676.34
17491,1,17,5653.67
16409,36,12,5652.74
13722,131,10,5635.41
16320,172,6,5628.99
16003,29,10,5613.83
12356,22,6,5611.73
18145,12,11,5609.74
16200,4,12,5608.1
17838,26,13,5604.64
16011,8,29,5599.31
15228,66,6,5580.27
15854,4,21,5578.28
17203,35,10,5564.09
12500,23,18,5559.21
12484,35,9,5557.1
14210,105,16,5556.57
15299,67,9,5556.53
15527,18,23,5554.04
14907,3,16,5547.72
14572,3,11,5520.98
17069,28,14,5517.23
14732,8,19,5517.07
17092,50,11,5511.41
17204,175,9,5504.69
14189,2,16,5503.15
13115,11,10,5494.7
16609,15,7,5493.46
13593,108,14,5493.29
13769,2,20,5478.12
16992,10,13,5476.5
17512,28,18,5467.82
17685,16,12,5454.95
13520,58,11,5446.0
18198,4,17,5425.56
12664,8,11,5420.04
12378,129,2,5416.32
14626,23,11,5410.92
14249,410,12,5400.46
17719,37,15,5396.04
17612,53,18,5394.86
13362,9,7,5394.07
13014,10,11,5381.08
14459,155,2,5375.74
14442,204,7,5367.02
12615,2,8,5362.98
17863,59,12,5360.48
15641,105,12,5345.55
16008,23,15,5339.13
15628,4,17,5333.08
13842,58,18,5319.34
17584,7,6,5309.42
16546,290,5,5307.07
16393,2,23,5297.77
15394,9,11,5286.8
15152,9,14,5263.83
13931,95,11,5257.38
13975,31,12,5256.4
13107,44,9,5253.07
14930,108,6,5236.73
12755,280,11,5236.26
15722,35,11,5234.0
17061,73,11,5232.23
15606,61,17,5230.99
13763,63,3,5217.44
15812,107,12,5201.47
14546,5,11,5184.84
17663,25,17,5175.83
15796,1,17,5170.63
12633,58,7,5156.16
17157,7,19,5151.9
16153,49,11,5133.49
16308,37,7,5120.0
14713,9,21,5115.36
15443,1,14,5114.23
17861,3,18,5088.29
14493,7,10,5087.86
15367,57,11,5081.33
17469,16,17,5051.25
16931,5,23,5032.22
17084,35,3,5001.21
14209,10,15,4993.27
15898,1,25,4992.7
17346,3,26,4991.41
13634,33,15,4988.08
14639,52,9,4978.96
13198,10,8,4974.23
17758,19,12,4964.03
17802,82,10,4946.22
12347,2,8,4921.53
14970,68,12,4919.35
16919,156,24,4909.66
12727,10,10,4905.53
17314,24,17,4904.43
18144,7,19,4892.95
15332,366,6,4892.68
12594,37,14,4890.11
16986,29,11,4888.75
13021,4,17,4887.24
13659,205,12,4884.68
16686,47,16,4881.07
15379,169,8,4877.84
14107,51,11,4877.3
12688,113,1,4873.81
17213,40,13,4869.4
17652,25,12,4867.72
14081,302,10,4867.57
17449,2,13,4865.15
17059,29,9,4864.57
13495,7,10,4863.31
13044,291,11,4848.05
13562,81,8,4838.18
17567,7,9,4838.08
12480,28,7,4834.85
14191,1,15,4817.66
13875,53,14,4814.37
15485,30,7,4810.92
13329,31,8,4808.77
15529,22,12,4781.11
17519,17,15,4774.17
15187,1,15,4762.18
13988,19,8,4757.8
12955,1,11,4757.16
17829,298,5,4756.74
12362,3,10,4737.23
14825,3,24,4735.08
17082,33,6,4732.03
14235,75,9,4717.99
13958,379,8,4709.23
16905,5,17,4704.27
15410,84,10,4685.72
12625,211,4,4678.88
13971,18,14,4667.57
16904,4,20,4656.56
15123,7,5,4656.17
15484,1,6,4652.1
17050,96,11,4648.59
13124,89,4,4641.66
18097,7,11,4627.92
16326,5,24,4626.25
17400,126,8,4623.28
17442,36,15,4620.3
12759,52,8,4618.74
14441,0,11,4611.69
15245,134,8,4610.84
13851,95,8,4606.46
17402,4,22,4600.56
17188,11,13,4592.93
18257,39,12,4585.15
17508,280,8,4579.23
15416,64,7,4572.82
12708,29,18,4559.66
13510,1,11,4558.29
15365,25,13,4557.13
16143,3,12,4555.08
14032,2,16,4546.41
17613,22,14,4544.55
13527,33,12,4541.29
13571,12,26,4537.26
14685,576,8,4536.64
13523,33,6,4534.57
16255,16,15,4530.0
15271,7,24,4528.54
12700,7,4,4525.99
14290,11,8,4516.56
17308,393,2,4511.76
15581,156,34,4505.16
15764,88,8,4503.08
14625,196,11,4497.88
17596,23,13,4491.46
15122,114,11,4487.27
14701,10,15,4487.11
18064,133,11,4481.83
12916,138,7,4479.73
13491,51,27,4467.66
14648,416,15,4463.39
16912,28,15,4460.51
15240,44,12,4459.98
18093,93,8,4452.71
14341,45,18,4452.02
17220,24,21,4451.41
17754,0,13,4451.22
18069,26,11,4449.02
13435,5,9,4447.33
12562,8,9,4426.92
15845,17,11,4426.28
17138,275,7,4417.27
16626,0,17,4413.1
16563,53,6,4412.56
14211,53,18,4402.29
15203,25,15,4400.18
12600,28,21,4390.42
16732,31,4,4387.64
18272,2,9,4385.98
14514,61,9,4380.04
16118,652,1,4376.25
13297,7,7,4368.62
12752,81,1,4366.78
15861,12,12,4360.9
12432,42,4,4359.32
12917,128,6,4359.2
16283,5,8,4348.62
15633,509,13,4335.96
14334,16,12,4318.48
17372,40,27,4316.46
17191,28,15,4310.34
14482,18,12,4306.72
12928,35,12,4304.89
14854,78,11,4303.06
17937,8,7,4301.22
13880,21,17,4293.86
16858,368,10,4292.59
16125,367,14,4292.35
18230,9,9,4291.06
14307,88,10,4287.92
12536,59,1,4279.71
16293,21,15,4279.2
16081,56,8,4278.96
17930,35,13,4275.22
12449,22,5,4274.89
14466,29,13,4267.15
14239,43,21,4263.17
16571,26,10,4248.74
12935,2,15,4243.86
12395,19,15,4241.17
17728,3,5,4238.76
13911,57,20,4234.99
16875,67,11,4234.53
14001,45,9,4228.85
16712,9,13,4225.22
17412,2,16,4220.22
16743,29,14,4212.15
15804,0,13,4206.39
18079,45,5,4203.93
12598,9,10,4192.09
15518,64,15,4189.99
17406,333,13,4186.95
14868,3,12,4184.01
17738,19,13,4183.56
16072,288,4,4180.09
12757,15,9,4176.75
17673,1,13,4173.88
18194,82,6,4162.04
14740,197,11,4161.06
12653,148,3,4160.83
13461,38,6,4160.0
16749,591,2,4157.88
16209,88,9,4146.78
15002,115,9,4138.08
18287,42,7,4132.99
13450,26,13,4120.04
15493,32,9,4113.19
12553,8,12,4104.75
14408,10,11,4102.27
16477,63,11,4094.37
14566,110,4,4092.0
15050,25,5,4087.19
12444,21,5,4085.46
12627,10,6,4082.53
18077,8,18,4078.79
14878,12,25,4076.5
14913,35,8,4073.13
12483,17,19,4069.18
17682,10,11,4065.28
14025,464,8,4057.9
17083,109,9,4049.79
13048,14,9,4049.13
13421,40,8,4048.25
12840,143,7,4041.97
15680,9,10,4028.69
12578,21,4,4026.45
14824,10,10,4022.91
15782,9,4,4014.1
16098,87,14,4010.7
12523,19,23,4010.35
13895,28,6,4008.52
16841,36,12,4006.06
16150,42,10,4002.17
17618,5,11,4001.64
17307,395,11,3999.89
16455,63,11,3995.57
16241,9,16,3989.81
15665,168,5,3987.07
14547,3,8,3974.75
16218,29,13,3968.67
14047,8,14,3968.11
15572,4,10,3965.2
13542,376,17,3959.49
12370,51,7,3956.56
13982,39,9,3954.29
17667,66,9,3950.7
16791,29,15,3944.88
18259,24,7,3941.9
17526,4,12,3939.24
15819,49,10,3934.79
15051,23,9,3926.91
14465,246,11,3925.85
15752,39,9,3924.91
16771,33,10,3921.1
13037,138,12,3914.95
12853,134,11,3907.5
12408,32,8,3905.77
13995,15,14,3902.01
12388,15,8,3901.11
14498,42,10,3900.83
17646,219,12,3898.79
15571,11,14,3892.35
17218,4,18,3889.39
15708,40,9,3887.15
13446,430,11,3881.89
15696,33,13,3881.22
14655,8,7,3878.51
15823,729,2,3867.17
15067,78,5,3862.88
12782,4,11,3862.24
15195,2,1,3861.0
18073,114,12,3859.82
16440,7,6,3856.97
16057,16,10,3854.85
13213,56,11,3851.52
16341,24,7,3850.79
14532,236,11,3845.78
13481,45,11,3830.84
17287,26,21,3826.86
15421,58,10,3805.34
16636,438,4,3802.04
17954,5,19,3801.83
16128,17,11,3801.05
16928,80,26,3798.08
13357,257,5,3795.01
17071,28,13,3793.71
14309,8,11,3780.81
13126,4,13,3774.81
17211,26,13,3773.35
16466,33,15,3767.09
17173,5,8,3766.6
15834,70,7,3761.89
17553,129,4,3757.6
12876,57,4,3751.79
17293,8,17,3750.63
15370,40,8,3739.01
15704,140,6,3734.66
14515,17,12,3724.06
16240,24,2,3718.8
14364,108,8,3717.35
15532,25,10,3717.2
14540,9,11,3709.64
14565,95,5,3709.22
14776,51,15,3708.3
15288,43,10,3706.53
15255,66,9,3706.02
15494,21,5,3702.6
16772,423,3,3698.05
17096,15,11,3697.93
16094,11,11,3695.56
12726,28,11,3690.6
12857,210,6,3688.0
12349,18,3,3678.69
14744,16,14,3660.08
14593,21,12,3658.03
14857,59,7,3651.85
14649,4,9,3651.19
14640,24,10,3649.36
13632,24,8,3645.81
12422,95,12,3639.35
17063,21,13,3638.53
14770,232,8,3637.64
16748,17,14,3637.33
12721,31,8,3635.08
16053,32,6,3634.84
13505,72,4,3633.63
17528,1,8,3628.5
16444,46,17,3625.88
15079,212,11,3625.4
13305,4,16,3616.41
16503,106,11,3614.34
12360,52,6,3612.89
15505,52,5,3610.96
14817,200,7,3609.86
15791,43,5,3608.34
18242,72,8,3605.21
15827,73,28,3603.14
13750,53,11,3602.18
16325,46,12,3597.5
17422,16,11,3594.76
15480,116,3,3592.25
17019,11,11,3586.99
17659,17,14,3586.99
14132,2,11,3586.03
15569,103,10,3583.45
14653,1,12,3583.11
17679,52,7,3577.61
17311,78,6,3566.56
15024,9,16,3559.39
14737,3,4,3554.17
15858,15,13,3552.41
15222,318,11,3550.91
14882,26,14,3546.65
14503,3,6,3543.26
17848,81,30,3538.46
16950,56,10,3533.77
17722,96,5,3520.22
16336,420,4,3517.69
16395,60,14,3517.56
15113,9,3,3509.04
16719,14,14,3508.62
18044,4,18,3505.61
13929,169,11,3494.1
16983,12,11,3490.53
15059,40,19,3490.4
15306,64,9,3484.73
13577,25,11,3484.28
17597,213,5,3484.09
15712,9,12,3472.41
13849,51,5,3469.3
14533,24,11,3466.37
14837,89,9,3460.32
16360,4,6,3450.41
12358,1,5,3447.07
13313,22,12,3445.32
13536,1,7,3444.39
16347,11,11,3442.96
15974,39,7,3442.15
16208,44,10,3440.45
15953,15,18,3440.34
17725,16,11,3439.08
12670,10,7,3436.29
15676,18,3,3435.76
18168,176,16,3435.5
16045,119,8,3434.93
15351,12,10,3430.22
14409,71,9,3427.29
17913,58,14,3425.09
16281,72,3,3424.02
17876,399,3,3424.02
13437,14,7,3408.06
14934,81,5,3403.5
13823,18,7,3403.45
17931,134,14,3402.24
15114,30,12,3400.12
15811,22,7,3392.55
13425,108,5,3390.43
15058,25,16,3387.58
12530,59,9,3381.26
17723,127,7,3378.4
13979,73,7,3373.63
13135,196,2,3371.45
16271,15,8,3367.82
14898,23,14,3365.95
13707,267,5,3365.86
13285,23,6,3364.59
15538,537,6,3358.4
18219,2,17,3352.7
13246,18,11,3351.75
16818,10,11,3349.57
12371,59,4,3347.38
17183,7,6,3347.31
15265,151,4,3345.64
14608,4,10,3342.94
12424,162,4,3340.03
16351,332,13,3330.03
15065,37,5,3326.86
12865,26,4,3323.47
12631,57,6,3321.57
13431,67,8,3316.24
12623,276,7,3315.84
13824,32,12,3314.76
13131,23,7,3313.77
14217,1,23,3298.59
13611,89,10,3297.93
12589,28,6,3294.91
13031,407,5,3292.84
17768,8,7,3292.73
16539,2,10,3289.66
13650,16,10,3288.0
15632,15,8,3285.31
14285,21,8,3284.42
12872,326,12,3283.96
18188,15,6,3280.59
15978,77,3,3279.42
17774,96,9,3272.83
13291,155,11,3270.79
16067,562,3,3269.11
12377,315,4,3266.32
13214,417,7,3264.23
14064,29,15,3260.24
14451,60,12,3258.68
17924,11,8,3257.7
15057,275,5,3255.96
14215,11,9,3250.33
15380,8,11,3248.96
12770,210,2,3246.45
16612,32,9,3245.43
15140,52,8,3243.69
17353,129,4,3242.0
15356,31,13,3239.57
12468,187,5,3238.74
15625,103,9,3236.4
12963,8,12,3235.79
16101,70,4,3229.16
14669,241,7,3216.78
14507,23,11,3216.74
12645,33,8,3215.3
12951,8,15,3213.72
16918,49,16,3206.54
16107,17,7,3204.16
17147,22,9,3199.95
14315,44,8,3197.82
15027,30,10,3195.6
12597,19,4,3195.22
13868,7,2,3192.54
13397,72,10,3191.87
16515,52,10,3179.06
17621,21,6,3175.12
16837,31,11,3170.98
17640,86,6,3168.94
16365,17,15,3167.34
16041,30,3,3166.4
13804,30,9,3161.12
12976,211,8,3156.38
16584,80,5,3156.17
13268,17,10,3152.71
12569,2,32,3152.69
14306,51,6,3151.4
15614,437,4,3147.36
15916,16,13,3145.24
17702,30,6,3144.04
15095,103,10,3141.64
14897,7,8,3140.54
15602,8,16,3137.96
17354,50,4,3133.96
13786,367,6,3127.99
14963,9,12,3123.57
15199,59,10,3122.4
17145,512,4,3120.91
13685,2,7,3119.44
13052,212,7,3118.48
13692,24,5,3114.4
14978,72,10,3112.19
15983,22,8,3110.37
16678,2,12,3109.99
13742,16,12,3107.87
12909,39,8,3103.19
13538,43,12,3103.13
15031,4,14,3102.94
15491,95,6,3100.09
13772,33,8,3100.02
16933,1,9,3099.3
13464,58,6,3097.64
12937,15,9,3097.61
15105,18,9,3094.91
14312,46,11,3090.29
12619,16,9,3085.7
15373,8,17,3084.54
12511,428,1,3084.02
17929,11,12,3082.1
17090,4,13,3080.18
14700,32,5,3076.06
14044,26,10,3073.95
12469,522,2,3070.54
13631,99,11,3070.42
14038,78,5,3069.88
13196,11,7,3068.84
16400,94,9,3059.85
16059,65,12,3053.57
16007,47,7,3053.06
15241,66,11,3050.16
16560,26,8,3048.38
14916,70,8,3042.95
13647,9,8,3041.68
12510,142,7,3039.03
15754,51,9,3037.61
14673,3,7,3037.32
13557,28,13,3032.26
12609,78,9,3021.86
12849,31,6,3015.98
13485,233,11,3015.22
13848,92,8,3015.0
14456,5,9,3014.32
12754,235,3,3010.74
16718,369,5,3006.08
14621,1,9,3000.57
13635,67,4,2999.16
15810,78,8,2999.04
15182,154,11,2998.95
14161,215,7,2996.93
12502,95,5,2995.87
14590,424,20,2993.37
15687,8,9,2993.1
14344,127,20,2993.05
15681,25,14,2989.7
18241,9,21,2986.99
14226,28,6,2985.13
16012,35,5,2978.59
17655,10,9,2976.38
15611,9,24,2976.28
12838,33,10,2975.91
12854,78,7,2970.97
16120,59,6,2967.51
15967,23,12,2966.0
17692,127,12,2960.44
14506,17,7,2960.25
15329,39,11,2958.83
16416,26,9,2957.88
13012,9,11,2957.83
13110,31,12,2957.47
16736,505,5,2956.56
14867,185,16,2952.06
13253,156,4,2951.11
12877,3,20,2942.14
15757,65,6,2940.36
17588,100,7,2939.55
14544,24,3,2938.53
12967,358,3,2938.52
15312,75,12,2930.19
13890,1,14,2927.38
12906,11,5,2919.81
16358,1,5,2919.65
15392,4,7,2911.62
