cohort_month,month_number,active_customers,cohort_size,retention_rate_pct
2010-03,10,51,440,11.59
2010-03,11,63,440,14.32
2010-03,12,88,440,20.0
2010-03,13,72,440,16.36
2010-03,14,88,440,20.0
2010-03,15,75,440,17.05
2010-03,16,77,440,17.5
2010-03,17,69,440,15.68
2010-03,18,78,440,17.73
2010-03,19,89,440,20.23
2010-03,20,94,440,21.36
2010-03,21,34,440,7.73
2010-04,0,293,293,100.0
2010-04,1,56,293,19.11
2010-04,2,56,293,19.11
2010-04,3,47,293,16.04
2010-04,4,54,293,18.43
2010-04,5,65,293,22.18
2010-04,6,81,293,27.65
2010-04,7,77,293,26.28
2010-04,8,31,293,10.58
2010-04,9,32,293,10.92
2010-04,10,22,293,7.51
2010-04,11,41,293,13.99
2010-04,12,41,293,13.99
2010-04,13,46,293,15.7
2010-04,14,46,293,15.7
2010-04,15,46,293,15.7
2010-04,16,41,293,13.99
2010-04,17,44,293,15.02
2010-04,18,53,293,18.09
2010-04,19,66,293,22.53
2010-04,20,17,293,5.8
2010-05,0,254,254,100.0
2010-05,1,40,254,15.75
2010-05,2,43,254,16.93
2010-05,3,44,254,17.32
2010-05,4,45,254,17.72
2010-05,5,65,254,25.59
2010-05,6,54,254,21.26
2010-05,7,32,254,12.6
2010-05,8,15,254,5.91
2010-05,9,21,254,8.27
2010-05,10,29,254,11.42
2010-05,11,34,254,13.39
2010-05,12,39,254,15.35
2010-05,13,39,254,15.35
2010-05,14,25,254,9.84
2010-05,15,32,254,12.6
2010-05,16,35,254,13.78
2010-05,17,42,254,16.54
2010-05,18,39,254,15.35
2010-05,19,12,254,4.72
2010-06,0,267,267,100.0
2010-06,1,47,267,17.6
2010-06,2,50,267,18.73
2010-06,3,55,267,20.6
2010-06,4,62,267,23.22
2010-06,5,76,267,28.46
2010-06,6,34,267,12.73
2010-06,7,24,267,8.99
2010-06,8,22,267,8.24
2010-06,9,30,267,11.24
2010-06,10,28,267,10.49
2010-06,11,37,267,13.86
2010-06,12,40,267,14.98
2010-06,13,33,267,12.36
2010-06,14,30,267,11.24
2010-06,15,33,267,12.36
2010-06,16,35,267,13.11
2010-06,17,54,267,20.22
2010-06,18,13,267,4.87
2010-07,0,185,185,100.0
2010-07,1,29,185,15.68
2010-07,2,34,185,18.38
2010-07,3,55,185,29.73
2010-07,4,54,185,29.19
2010-07,5,26,185,14.05
2010-07,6,21,185,11.35
2010-07,7,27,185,14.59
2010-07,8,27,185,14.59
2010-07,9,21,185,11.35
2010-07,10,25,185,13.51
2010-07,11,27,185,14.59
2010-07,12,24,185,12.97
2010-07,13,25,185,13.51
2010-07,14,36,185,19.46
2010-07,15,32,185,17.3
2010-07,16,44,185,23.78
2010-07,17,15,185,8.11
2010-08,0,162,162,100.0
2010-08,1,32,162,19.75
2010-08,2,47,162,29.01
2010-08,3,53,162,32.72
2010-08,4,27,162,16.67
2010-08,5,19,162,11.73
2010-08,6,16,162,9.88
2010-08,7,21,162,12.96
2010-08,8,22,162,13.58
2010-08,9,21,162,12.96
2010-08,10,21,162,12.96
2010-08,11,19,162,11.73
2010-08,12,24,162,14.81
2010-08,13,28,162,17.28
2010-08,14,28,162,17.28
2010-08,15,32,162,19.75
2010-08,16,12,162,7.41
2010-09,0,239,239,100.0
2010-09,1,55,239,23.01
2010-09,2,56,239,23.43
2010-09,3,31,239,12.97
2010-09,4,21,239,8.79
2010-09,5,25,239,10.46
2010-09,6,33,239,13.81
2010-09,7,23,239,9.62
2010-09,8,31,239,12.97
2010-09,9,31,239,12.97
2010-09,10,29,239,12.13
2010-09,11,24,239,10.04
2010-09,12,54,239,22.59
2010-09,13,40,239,16.74
2010-09,14,40,239,16.74
2010-09,15,13,239,5.44
2010-10,0,375,375,100.0
2010-10,1,97,375,25.87
2010-10,2,55,375,14.67
2010-10,3,47,375,12.53
2010-10,4,33,375,8.8
2010-10,5,31,375,8.27
2010-10,6,49,375,13.07
2010-10,7,52,375,13.87
2010-10,8,40,375,10.67
2010-10,9,35,375,9.33
2010-10,10,40,375,10.67
2010-10,11,48,375,12.8
2010-10,12,72,375,19.2
2010-10,13,87,375,23.2
2010-10,14,26,375,6.93
2010-11,0,326,326,100.0
2010-11,1,57,326,17.48
2010-11,2,31,326,9.51
2010-11,3,31,326,9.51
2010-11,4,25,326,7.67
2010-11,5,29,326,8.9
2010-11,6,42,326,12.88
2010-11,7,33,326,10.12
2010-11,8,28,326,8.59
2010-11,9,30,326,9.2
2010-11,10,36,326,11.04
2010-11,11,48,326,14.72
2010-11,12,82,326,25.15
2010-11,13,21,326,6.44
2010-12,0,76,76,100.0
2010-12,1,7,76,9.21
2010-12,2,4,76,5.26
2010-12,3,7,76,9.21
2010-12,4,9,76,11.84
2010-12,5,5,76,6.58
2010-12,6,4,76,5.26
2010-12,7,7,76,9.21
2010-12,8,4,76,5.26
2010-12,9,2,76,2.63
2010-12,10,7,76,9.21
2010-12,11,15,76,19.74
2010-12,12,2,76,2.63
2011-01,0,72,72,100.0
2011-01,1,12,72,16.67
2011-01,2,16,72,22.22
2011-01,3,14,72,19.44
2011-01,4,16,72,22.22
2011-01,5,11,72,15.28
2011-01,6,11,72,15.28
2011-01,7,9,72,12.5
2011-01,8,8,72,11.11
2011-01,9,15,72,20.83
2011-01,10,18,72,25.0
2011-01,11,8,72,11.11
2011-02,0,125,125,100.0
2011-02,1,20,125,16.0
2011-02,2,20,125,16.0
2011-02,3,23,125,18.4
2011-02,4,27,125,21.6
2011-02,5,20,125,16.0
2011-02,6,20,125,16.0
2011-02,7,19,125,15.2
2011-02,8,19,125,15.2
2011-02,9,23,125,18.4
2011-02,10,8,125,6.4
2011-03,0,179,179,100.0
2011-03,1,32,179,17.88
2011-03,2,39,179,21.79
2011-03,3,36,179,20.11
2011-03,4,40,179,22.35
2011-03,5,27,179,15.08
2011-03,6,37,179,20.67
2011-03,7,36,179,20.11
2011-03,8,43,179,24.02
2011-03,9,17,179,9.5
2011-04,0,106,106,100.0
2011-04,1,26,106,24.53
2011-04,2,21,106,19.81
2011-04,3,21,106,19.81
2011-04,4,19,106,17.92
2011-04,5,25,106,23.58
2011-04,6,19,106,17.92
2011-04,7,27,106,25.47
2011-04,8,12,106,11.32
2011-05,0,111,111,100.0
2011-05,1,26,111,23.42
2011-05,2,27,111,24.32
2011-05,3,18,111,16.22
2011-05,4,24,111,21.62
2011-05,5,23,111,20.72
2011-05,6,29,111,26.13
2011-05,7,13,111,11.71
2011-06,0,108,108,100.0
2011-06,1,25,108,23.15
2011-06,2,23,108,21.3
2011-06,3,29,108,26.85
2011-06,4,22,108,20.37
2011-06,5,30,108,27.78
2011-06,6,9,108,8.33
2011-07,0,101,101,100.0
2011-07,1,21,101,20.79
2011-07,2,30,101,29.7
2011-07,3,28,101,27.72
2011-07,4,35,101,34.65
2011-07,5,16,101,15.84
2011-08,0,106,106,100.0
2011-08,1,28,106,26.42
2011-08,2,32,106,30.19
2011-08,3,28,106,26.42
2011-08,4,18,106,16.98
2011-09,0,188,188,100.0
2011-09,1,51,188,27.13
2011-09,2,71,188,37.77
2011-09,3,28,188,14.89
2011-10,0,221,221,100.0
2011-10,1,70,221,31.67
2011-10,2,35,221,15.84
2011-11,0,191,191,100.0
2011-11,1,27,191,14.14
2011-12,0,28,28,100.0
